cc,lon,lat,status,place,unit,unit_share,why,reviewed
mm,95.92996,16.71260,unreviewed,"MMR013, no city within 20 km",MMR013,0.010,"3 hexes, 1 at the cap. no city in worldcities within 20 km; under 5% of its unit, so not acted on",2026-09-14 f95259a4-kontur
mm,95.27431,16.37511,unreviewed,"MMR017, no city within 20 km",MMR017,0.030,"6 hexes, 3 at the cap. no city in worldcities within 20 km; under 5% of its unit, so not acted on",2026-09-14 f95259a4-kontur
mm,95.40546,16.29590,unreviewed,"MMR017, no city within 20 km",MMR017,0.022,"4 hexes, 2 at the cap. no city in worldcities within 20 km; under 5% of its unit, so not acted on",2026-09-14 f95259a4-kontur
mm,95.58839,17.25850,unreviewed,"MMR017, no city within 20 km",MMR017,0.006,"1 hexes, 1 at the cap. no city in worldcities within 20 km; under 5% of its unit, so not acted on",2026-09-14 f95259a4-kontur
mm,97.63641,16.88996,real,Hpa-An,MMR003,0.048,"3 hexes, 1 at the cap. peak 0.4 km from Hpa-An, where Kontur is 46,200/km2; block holds 0.19x the city's figure",2026-09-14 f95259a4-kontur
mm,94.75582,16.14373,unreviewed,Labutta,MMR017,0.012,"2 hexes, 1 at the cap. peak 0.5 km from Labutta, where Kontur is 46,199/km2; block holds 1.64x the city's figure; demoted from real on review: 2 hexes hold 1.6x Labutta's figure",2026-09-14 f95259a4-kontur
mm,95.74802,17.78408,real,Letpandan,MMR111,0.013,"2 hexes, 1 at the cap. peak 0.3 km from Letpandan, where Kontur is 46,200/km2; block holds 0.39x the city's figure",2026-09-14 f95259a4-kontur
mm,96.14339,16.77553,real,Rangoon,MMR013,0.140,"49 hexes, 5 at the cap. peak 2.3 km from Rangoon, where Kontur is 46,199/km2; block holds 0.22x the city's figure",2026-09-14 f95259a4-kontur
mm,96.12699,16.80791,real,Rangoon,MMR013,0.030,"8 hexes, 3 at the cap. peak 4.4 km from Rangoon, where Kontur is 46,199/km2; block holds 0.05x the city's figure",2026-09-14 f95259a4-kontur
mm,96.56108,16.90136,unreviewed,Thongwa,MMR013,0.012,"4 hexes, 1 at the cap. peak 16.6 km from Thongwa, where Kontur is 33,374/km2; block holds 1.84x the city's figure; demoted from real on review: 4 hexes hold 1.8x Thongwa's figure, 16.6 km from it",2026-09-14 f95259a4-kontur
mw,33.72123,-14.01890,real,Lilongwe,MW210,0.055,"3 hexes, 1 at the cap. peak 8.3 km from Lilongwe, where Kontur is 25,850/km2; block holds 0.08x the city's figure",2026-09-14 f95259a4-kontur
mz,36.56682,-14.80657,real,Cuamba,MZ01,0.023,"2 hexes, 1 at the cap. peak 2.3 km from Cuamba, where Kontur is 19,539/km2; block holds 0.72x the city's figure",2026-09-14 f95259a4-kontur
ng,11.22975,10.28709,capped,"Gombe, east of the town",NG016,0.063,"7 hexes, 6 at the cap, 6.5 km east of the centre in farmland; Kontur within 5 km of the centre never exceeds 4,859/km2",2026-09-14 f95259a4-kontur
ng,11.22737,10.32415,capped,"Gombe, northeast of the town, second piece",NG016,0.044,"5 hexes, 4 at the cap, 7.2 km from the centre, same cause",2026-09-14 f95259a4-kontur
ng,6.75327,6.08508,unreviewed,10 km from Onitsha,NG004,0.032,"11 hexes, 1 at the cap. peak 9.6 km from Onitsha, where Kontur is 3,636/km2; block holds 0.13x the city's figure; under 5% of its unit, so not acted on",2026-09-14 f95259a4-kontur
ng,6.86663,4.74977,unreviewed,16 km from Choba,NG033,0.003,"1 hexes, 1 at the cap. peak 16.1 km from Choba, where Kontur is 4,462/km2; block holds 1.03x the city's figure; under 5% of its unit, so not acted on",2026-09-14 f95259a4-kontur
ng,6.85586,4.74025,unreviewed,17 km from Choba,NG033,0.016,"6 hexes, 3 at the cap. peak 17.4 km from Choba, where Kontur is 4,462/km2; block holds 5.08x the city's figure; under 5% of its unit, so not acted on",2026-09-14 f95259a4-kontur
ng,8.24567,4.81520,unreviewed,"NG003, no city within 20 km",NG003,0.025,"6 hexes, 4 at the cap. no city in worldcities within 20 km; under 5% of its unit, so not acted on",2026-09-14 f95259a4-kontur
ng,6.17755,7.52485,unreviewed,"Okene, southwest of the town",NG023,0.068,"12 hexes, 11 at the cap, 6.8% of Kogi; 6.7 km from the centre, where Kontur peaks at 11,811/km2",2026-09-14 f95259a4-kontur
ng,6.12312,7.54218,unreviewed,"Okene, west, single hex",NG012,0.006,"one hex at the cap, 12 km from Okene",2026-09-14 f95259a4-kontur
ng,6.14725,7.55479,unreviewed,"Okene, west, single hex",NG023,0.006,"one hex at the cap, 9.5 km from Okene",2026-09-14 f95259a4-kontur
ng,8.50127,11.99792,real,Kano,NG020,0.196,"145 hexes, 17 at the cap. peak 1.7 km from Kano, where Kontur is 46,200/km2; block holds 1.42x the city's figure",2026-09-14 f95259a4-kontur
ng,8.51701,11.89137,real,Kano,NG020,0.002,"1 hexes, 1 at the cap. peak 12.0 km from Kano, where Kontur is 46,200/km2; block holds 0.02x the city's figure",2026-09-14 f95259a4-kontur
ng,3.32131,6.52935,real,Lagos,NG025,0.628,"547 hexes, 83 at the cap. peak 10.8 km from Lagos, where Kontur is 17,243/km2; block holds 0.53x the city's figure",2026-09-14 f95259a4-kontur
ng,3.30061,6.49040,real,Lagos,NG025,0.002,"1 hexes, 1 at the cap. peak 10.1 km from Lagos, where Kontur is 17,243/km2; block holds 0.00x the city's figure",2026-09-14 f95259a4-kontur
ng,3.32994,6.42253,real,Lagos,NG025,0.002,"1 hexes, 1 at the cap. peak 7.0 km from Lagos, where Kontur is 17,243/km2; block holds 0.00x the city's figure",2026-09-14 f95259a4-kontur
ng,6.22735,7.52251,unreviewed,Okene,NG023,0.006,"1 hexes, 1 at the cap. peak 3.1 km from Okene, where Kontur is 11,811/km2; block holds 0.09x the city's figure; demoted from real on review: single hex at the cap beside Okene, like the other Okene hexes",2026-09-14 f95259a4-kontur
np,86.00052,26.66181,unreviewed,"Dhanusha, 8.5 km southeast of Janakpur",NP0217310,0.390,"2 hexes, one at the cap, 39% of NP0217310; Kontur within 1 km of Janakpur peaks at 1,237/km2",2026-09-14 f95259a4-kontur
np,87.28312,26.57132,unreviewed,"Morang, 15 km from Biratnagar",NP0106304,0.438,"5 hexes, 2 at the cap, 44% of NP0106304; passes the distance test at 2.9x but has Parsa's shape",2026-09-14 f95259a4-kontur
np,84.74532,27.04583,unreviewed,"Parsa, 16 km west of Birganj, second piece",NP0234409,0.439,"one hex at the cap, 44% of NP0234409; same place as the block beside it",2026-09-14 f95259a4-kontur
np,84.74095,27.05285,unreviewed,"Parsa, 17 km west of Birganj",NP0234408,0.758,"6 hexes, 5 at the cap, 76% of NP0234408; Kontur at Birganj's centre is 3,574/km2",2026-09-14 f95259a4-kontur
np,85.29464,27.69083,real,Kathmandu,NP0327101,0.965,"the Kathmandu valley; worldcities' 845,767 is the city proper, so the 2.6x ratio misfires",2026-09-14 f95259a4-kontur
pe,-76.98853,-12.05290,real,Lima,PE150132,0.479,"185 hexes, 3 at the cap. peak 5.2 km from Lima, where Kontur is 20,194/km2; block holds 0.34x the city's figure",2026-09-14 f95259a4-kontur
pk,68.34624,25.36907,real,Hyderabad City,PAK_GEO1_06_01_03,0.620,"71 hexes, 14 at the cap. peak 2.0 km from Hyderabad City, where Kontur is 46,200/km2; block holds 0.93x the city's figure",2026-09-14 f95259a4-kontur
pk,67.08618,24.83584,real,Karachi,PAK_GEO1_06_02_04,0.599,"486 hexes, 227 at the cap. peak 9.4 km from Karachi, where Kontur is 46,200/km2; block holds 0.80x the city's figure",2026-09-14 f95259a4-kontur
pk,67.17149,24.87651,real,Karachi,PAK_GEO1_06_02_05,0.173,"18 hexes, 1 at the cap. peak 15.5 km from Karachi, where Kontur is 46,200/km2; block holds 0.03x the city's figure",2026-09-14 f95259a4-kontur
tr,27.14777,38.35954,unreviewed,7 km from Izmir,TR3,0.020,"8 hexes, 2 at the cap. peak 7.2 km from Izmir, where Kontur is 11,940/km2; block holds 0.05x the city's figure; under 5% of its unit, so not acted on",2026-09-14 f95259a4-kontur
tr,29.01655,40.20595,real,Bursa,TR4,0.049,"15 hexes, 5 at the cap. peak 4.4 km from Bursa, where Kontur is 18,833/km2; block holds 0.14x the city's figure",2026-09-14 f95259a4-kontur
tr,28.98341,41.09645,real,Istanbul,TR1,0.375,"229 hexes, 105 at the cap. peak 9.2 km from Istanbul, where Kontur is 26,844/km2; block holds 0.42x the city's figure",2026-09-14 f95259a4-kontur
tr,28.84880,40.97084,real,Istanbul,TR1,0.002,"1 hexes, 1 at the cap. peak 8.7 km from Istanbul, where Kontur is 26,844/km2; block holds 0.00x the city's figure",2026-09-14 f95259a4-kontur
tr,32.61778,39.94427,real,Kecioren,TR5,0.053,"17 hexes, 3 at the cap. peak 19.9 km from Kecioren, where Kontur is 26,561/km2; block holds 0.49x the city's figure",2026-09-14 f95259a4-kontur
tz,39.26848,-6.80800,real,Dar es Salaam,TZ07,0.550,"177 hexes, 36 at the cap, 4,447,234 people. point 1.9 km from the city centre, in the continuously built inner city; block holds 0.83x the region's 2022 census count, and Kontur carries 1.50x the census across the whole region, so its excess is city-wide rather than a displaced block",2026-09-14 f95259a4-tz
uz,69.24231,41.18865,capped,"Tashkent city, southern districts",UZ26,0.580,"peak 15.6 km south of the centre, where Kontur is 2,432/km2; 11 hexes at the cap, 58% of the city's weight",2026-09-14 f95259a4-kontur
uz,69.32903,41.18363,capped,"Tashkent region, beside the city block",UZ27,0.028,"the same block as the city's, cut by the region line; 19 km from any city Kontur draws densely",2026-09-14 f95259a4-kontur
vn,105.82736,21.02541,real,Hanoi,01,0.034,"10 hexes, 2 at the cap. peak 5.1 km from Hanoi, where Kontur is 46,200/km2; block holds 0.03x the city's figure",2026-09-14 f95259a4-kontur
vn,105.84802,21.00016,real,Hanoi,01,0.022,"7 hexes, 1 at the cap. peak 0.2 km from Hanoi, where Kontur is 46,200/km2; block holds 0.02x the city's figure",2026-09-14 f95259a4-kontur
vn,106.64783,10.75729,real,Ho Chi Minh City,79,0.532,"162 hexes, 10 at the cap. peak 5.6 km from Ho Chi Minh City, where Kontur is 46,143/km2; block holds 0.26x the city's figure",2026-09-14 f95259a4-kontur
za,28.04600,-26.19255,real,Johannesburg,JHB,0.040,"8 hexes, 2 at the cap. peak 1.4 km from Johannesburg, where Kontur is 46,200/km2; block holds 0.03x the city's figure",2026-09-14 f95259a4-kontur
za,28.09282,-26.10414,real,Johannesburg,JHB,0.031,"6 hexes, 2 at the cap. peak 13.2 km from Johannesburg, where Kontur is 46,200/km2; block holds 0.02x the city's figure",2026-09-14 f95259a4-kontur
cg,15.26959,-4.23177,real,Brazzaville,Brazzaville,0.911,"78 hexes, 15 at the cap, 2,326,315 people; the unit is the city itself. peak 4.2 km from Brazzaville's point, where Kontur is already 41,452/km2; block holds 1.34x the city's figure. Checked, not only set by the test",2026-09-14 f95259a4-cg
tw,121.49690,24.99484,real,"Taipei basin core, both banks of the Xindian River",TW-TPE,0.563,"165 hexes, 11 at the cap, 3,031,666 people. Real: the MOI register averages 37,022/km2 over the whole of Yonghe and 24,850/km2 over Da'an (ODRP048, end of 2025), and Kontur's Taipei City total is 1.09x the register, so nothing is piled up",2026-09-14 d743fc47-tw
tw,121.48759,25.06925,real,"Sanchong and Luzhou, New Taipei",TW-NWT,0.209,"53 hexes, 2 at the cap, 968,365 people. Real: the register averages 26,411/km2 over Luzhou and 23,459/km2 over Sanchong, and New Taipei's Kontur total is 1.08x the register",2026-09-14 d743fc47-tw
ml,-7.95609,12.61413,real,"Bamako, right bank, south-east of the centre",Bamako,0.296,"77 hexes, 6 at the cap, 1,421,941 people, about 6 km from the centre inside the continuously built city. Real: the unit is the district itself, and Kontur's whole-district total is 1.14x the census's 4,227,569 (sources/ml.md §6), so the excess is city-wide rather than a block piled up off-centre",2026-09-14 d743fc47-ml
ml,-7.92940,12.68601,real,"Bamako, left bank, north-east of the centre",Bamako,0.160,"44 hexes, 3 at the cap, 769,859 people, about 9 km from the centre inside the built city; same reasoning as the right-bank block",2026-09-14 d743fc47-ml
ve,-66.79438,10.49054,real,"Petare, eastern Caracas",VE15,0.101,"17 hexes, 1 at the cap, 268,614 people, in the barrios of Petare. Real: 367,513 people and 18 hexes over 15,000/km2 within 3 km, and Miranda's next four densest hexes are all within 3 km, so the block is inside continuous dense city",2026-09-14 d743fc47-ve
ve,-64.25616,8.83795,capped,"5 km south of El Tigre, Anzoátegui",VE03,0.070,"5 hexes, 1 at the cap, 111,715 people. The 3 km ring's median is 697/km2 and the 10 km ring's 118/km2, so the block stands alone outside the town",2026-09-14 d743fc47-ve
ve,-67.58644,10.26812,real,"Maracay, north-east of the centre",VE05,0.065,"8 hexes, 1 at the cap, 112,517 people, about 2.5 km from the centre. Real: 385,934 people and 42 hexes over 5,000/km2 within 5 km, and Aragua's second-densest hex is inside that radius, so the block is part of the city",2026-09-14 d743fc47-ve
ve,-68.61872,10.41293,capped,"Yaracuy, north-east of San Felipe",VE22,0.044,"one hex at the cap, 30,220 people. The 3 km ring's median is 16/km2 and everything within 10 km holds 157,136 people, so one hex holds a fifth of its surroundings",2026-09-14 d743fc47-ve
ve,-69.14794,10.28534,capped,"Lara, beside Duaca",VE13,0.025,"2 hexes, 1 at the cap, 47,378 people. The 3 km ring's median is 73/km2 and everything within 10 km holds 70,660 people, so two hexes hold two thirds of their surroundings",2026-09-14 d743fc47-ve
mg,47.56694,-18.84850,real,"Antananarivo, the built-up agglomeration",MG11,0.330,"82 hexes, 23 at the cap, 1,797,067 people. Real: the block is 33.0% of Analamanga's Kontur weight and Antananarivo Renivohitra is 35.2% of the region's census people (RGPH-3 2018 Tome 1, Tableau 4), and Kontur within 2 km of the city's capital point is already 26,443/km2",2026-09-14 d743fc47-mg
mg,47.52005,-18.81144,unreviewed,"Antananarivo, northern periphery",MG11,0.029,"6 hexes, 3 at the cap, 158,887 people, 10.8 km from the capital point; the 3 km ring's median is 2,020/km2 inside a city of 2.6 million within 10 km, so the grid cannot say whether it is dense suburb or a pile-up; under 5% of its unit, so not acted on",2026-09-14 d743fc47-mg
mg,47.48338,-18.85557,unreviewed,"Antananarivo, western periphery",MG11,0.013,"3 hexes, 1 at the cap, 70,931 people, 6.5 km from the capital point; the 3 km ring's median is 4,439/km2; under 5% of its unit, so not acted on",2026-09-14 d743fc47-mg
mg,46.40415,-15.76185,capped,"10 km south-east of Mahajanga",MG41,0.096,"4 hexes, 3 at the cap, 121,866 people. The 3 km ring's median is 17/km2 and everything within 10 km holds 368,770 people, so four hexes hold a third of their surroundings; Kontur within 2 km of Mahajanga's own capital point peaks at 14,931/km2",2026-09-14 d743fc47-mg
mg,46.08701,-25.17778,real,Ambovombe,MG52,0.057,"3 hexes, 1 at the cap, 69,634 people, 0.4 km from the town's capital point. Real in place: the census's urban commune Ambovombe Androy is 65,402 (7.3% of Androy, Tableau 4) against the block's 5.7%, and capping would lower the town to its rural ring's median of 342/km2 and send its weight into the countryside",2026-09-14 d743fc47-mg
mg,49.34647,-12.24518,capped,"across the bay east of Antsiranana, near Ramena",MG71,0.031,"one hex at the cap, 34,072 people, 6.8 km from Antsiranana, where Kontur within 2 km of the capital point peaks at 7,296/km2. The 3 km ring's median is 720/km2 and the hex holds 26% of everyone within 10 km",2026-09-14 d743fc47-mg
mg,43.77346,-23.41037,capped,"11 km south-east of Toliara",MG51,0.019,"one hex at the cap, 35,692 people, 11.0 km from Toliara, where Kontur within 2 km of the capital point peaks at 8,379/km2. The 3 km ring's median is 963/km2 and the hex holds 17% of everyone within 10 km",2026-09-14 d743fc47-mg
ye,44.17433,15.35536,real,Sana'a,YE13,0.775,"121 hexes, 31 at the cap. peak 3.5 km from Sanaa, where Kontur is 46,199/km2; block holds 1.40x the city's figure (GeoNames)",2026-09-14 d743fc47-ye
ye,44.99044,12.87274,real,"Aden, Ash Shaykh Othman and Al Mansura",YE24,0.390,"24 hexes, 2 at the cap, on Aden's northern districts; 12.5 km from GeoNames' Aden point in Crater, where Kontur is 46,198/km2; block holds 0.40x the city's figure",2026-09-14 d743fc47-ye
ye,44.02689,13.57811,real,Ta'iz,YE15,0.235,"43 hexes, 13 at the cap. peak 0.7 km from Taiz, where Kontur is 46,199/km2; block holds 1.05x the city's figure (GeoNames)",2026-09-14 d743fc47-ye
ye,42.94784,14.79758,real,Al Hudaydah,YE18,0.150,"27 hexes, 5 at the cap. peak 0.7 km from Al Hudaydah, where Kontur is 46,198/km2; block holds 0.78x the city's figure (GeoNames)",2026-09-14 d743fc47-ye
ye,43.62752,15.45948,capped,"Ar Rujum district, Al Mahwit",YE27,0.135,"4 hexes, 2 at the cap, 113,602 people, 0.92x Ar Rujum district's 123,700 (Task Force 2025); no settlement GeoNames gives a population within 5 km (nearest 9.2 km)",2026-09-14 d743fc47-ye
ye,44.18455,13.95935,real,Ibb,YE11,0.126,"23 hexes, 4 at the cap. peak 0.9 km from Ibb, where Kontur is 46,198/km2; block holds 0.62x the city's figure (GeoNames)",2026-09-14 d743fc47-ye
ye,43.27365,15.34584,capped,"Melhan district, Al Mahwit",YE27,0.110,"3 hexes, 2 at the cap, 92,608 people, 0.63x Melhan district's 147,572 (Task Force 2025); no settlement GeoNames gives a population within 5 km (nearest 21.8 km)",2026-09-14 d743fc47-ye
ye,43.70089,14.63290,capped,"Mazhar district, Raymah",YE31,0.099,"3 hexes, 1 at the cap, 64,535 people, 0.47x Mazhar district's 136,113 (Task Force 2025); no settlement GeoNames gives a population within 5 km (nearest 29.5 km)",2026-09-14 d743fc47-ye
ye,45.86873,13.87988,unreviewed,Lawdar,YE12,0.088,"3 hexes, 1 at the cap, on Lawdar town, the district seat, which GeoNames gives no population; holds 0.61x Lawdar district's 108,354 (Task Force 2025), so neither a real core nor a false one can be shown",2026-09-14 d743fc47-ye
ye,43.50580,15.46491,capped,Al Mahwit town,YE27,0.086,"3 hexes, 1 at the cap, 72,879 people, 4.1 km from Al Mahwit town (GeoNames 10,593): 6.9x the town and 0.82x Al Mahwit district's 89,014 (Task Force 2025)",2026-09-14 d743fc47-ye
ye,45.03513,12.77745,real,"Aden, Crater",YE24,0.085,"5 hexes, 1 at the cap. peak 0.4 km from Aden, where Kontur is 46,198/km2; block holds 0.09x the city's figure (GeoNames)",2026-09-14 d743fc47-ye
ye,44.98033,12.78168,real,"Aden, At Tawahi",YE24,0.084,"4 hexes, 1 at the cap, on Aden's port district; block holds 0.84x At Tawahi's 110,816 (Task Force 2025)",2026-09-14 d743fc47-ye
ye,43.43898,15.35937,capped,"Hufash district, Al Mahwit",YE27,0.076,"2 hexes, 1 at the cap, 63,811 people, 0.98x Hufash district's 64,876 (Task Force 2025); no settlement GeoNames gives a population within 5 km (nearest 6.4 km)",2026-09-14 d743fc47-ye
ye,45.30561,13.21554,unreviewed,Ja'ar,YE12,0.071,"2 hexes, 1 at the cap, on Ja'ar, Khanfar district's town, which GeoNames gives no population; holds 0.31x Khanfar's 170,996 (Task Force 2025), so neither a real core nor a false one can be shown",2026-09-14 d743fc47-ye
ye,43.63678,14.62501,capped,"Kusmah district, Raymah",YE31,0.069,"2 hexes, 1 at the cap, 45,144 people, 0.73x Kusmah district's 62,165 (Task Force 2025); no settlement GeoNames gives a population within 5 km (nearest 32.7 km)",2026-09-14 d743fc47-ye
ye,43.76347,16.93994,real,Sa'dah,YE22,0.059,"3 hexes, 1 at the cap. peak 0.1 km from Sa'dah, where Kontur is 46,198/km2; block holds 1.33x the city's figure (GeoNames)",2026-09-14 d743fc47-ye
ye,44.37691,14.29916,capped,Yarim town,YE11,0.055,"9 hexes, 3 at the cap, 208,908 people, 0.2 km from Yarim (GeoNames 33,050): 6.3x the town and 0.79x Yarim district's 263,506 (Task Force 2025)",2026-09-14 d743fc47-ye
ye,44.13704,13.76465,unreviewed,Al Qa'idah,YE11,0.053,"7 hexes, 6 at the cap, on Al Qa'idah in Dhi As Sufal district, which GeoNames gives no population; holds 0.73x the district's 276,166 (Task Force 2025), so neither a real core nor a false one can be shown",2026-09-14 d743fc47-ye
ye,43.73280,15.07559,unreviewed,Manakhah district,YE23,0.050,"2 hexes, 2 at the cap. peak 42.9 km from Ad Danifah aldnft (GeoNames 450); 0.58x the district's 109,644 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.55297,14.37383,unreviewed,Al Ja'fariyyah district,YE31,0.049,"1 hexes, 1 at the cap. peak 25.4 km from Al-Medy Village, qryt almdy (GeoNames 2,000); 0.26x the district's 122,659 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.61036,14.71230,unreviewed,Al Jabin district,YE31,0.049,"1 hexes, 1 at the cap. peak 34.3 km from Bayt al Faqih (GeoNames 34,204); 0.22x the district's 145,895 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.52870,16.25077,unreviewed,Al Mutun district,YE16,0.044,"1 hexes, 1 at the cap. peak 26.1 km from Zahran (GeoNames 24); 0.67x the district's 47,844 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.48001,16.29332,unreviewed,Az Zahir district,YE16,0.044,"1 hexes, 1 at the cap. peak 25.5 km from Al Khadah Rahnah (GeoNames 14); 0.76x the district's 41,863 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.43316,16.78007,unreviewed,Haydan district,YE22,0.042,"2 hexes, 1 at the cap. peak 0.1 km from 'Amad (GeoNames 29); 0.47x the district's 105,293 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.73571,15.49392,unreviewed,At Tawilah district,YE27,0.038,"1 hexes, 1 at the cap. peak 20.1 km from Al Mahwit (GeoNames 10,593); 0.35x the district's 90,565 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.51532,15.24577,unreviewed,Bani Sa'd district,YE27,0.038,"1 hexes, 1 at the cap. peak 10.1 km from Ad Danifah aldnft (GeoNames 450); 0.32x the district's 100,693 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.28219,15.05343,unreviewed,Bajil district,YE18,0.037,"6 hexes, 3 at the cap. peak 0.7 km from Bajil (GeoNames 48,218); 0.46x the district's 311,170 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.00853,14.47398,unreviewed,Otmah district,YE20,0.035,"3 hexes, 2 at the cap. peak 23.2 km from Al-Medy Village, qryt almdy (GeoNames 2,000); 0.30x the district's 265,052 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.38107,16.02574,unreviewed,Khayran Al Muharraq district,YE17,0.032,"3 hexes, 2 at the cap. peak 0.2 km from Al Mu'zaybah (GeoNames 12); 0.57x the district's 141,205 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.00206,13.96400,unreviewed,Al Odayn district,YE11,0.031,"5 hexes, 3 at the cap. peak 12.6 km from Akl (GeoNames 36); 0.54x the district's 219,726 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.60423,15.69446,unreviewed,Hajjah City district,YE17,0.030,"3 hexes, 1 at the cap. peak 0.2 km from Hajjah (GeoNames 43,549); 0.63x the district's 118,482 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.32143,14.51688,unreviewed,Bayt Al Faqih district,YE18,0.030,"5 hexes, 1 at the cap. peak 0.3 km from Bayt al Faqih (GeoNames 34,204); 0.27x the district's 421,091 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.99755,13.52838,unreviewed,Mashr'ah Wa Hadnan district,YE15,0.029,"5 hexes, 2 at the cap. peak 5.9 km from Taiz (GeoNames 940,600); 3.41x the district's 35,959 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.50730,13.26844,unreviewed,Mawza' district,YE15,0.029,"5 hexes, 3 at the cap. peak 0.3 km from Al Kuwayrah (GeoNames 61); 3.93x the district's 31,390 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.59927,17.06005,unreviewed,Majz district,YE22,0.028,"1 hexes, 1 at the cap. peak 0.3 km from Al al 'Ujri (GeoNames 63); 0.26x the district's 126,630 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.91515,14.41609,unreviewed,Wusab Al Aali district,YE20,0.027,"2 hexes, 1 at the cap. peak 13.1 km from Al-Medy Village, qryt almdy (GeoNames 2,000); 0.21x the district's 300,190 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.09497,15.31460,unreviewed,Bani Matar district,YE23,0.025,"1 hexes, 1 at the cap. peak 11.9 km from Sanaa (GeoNames 1,937,451); 0.23x the district's 137,248 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.57419,14.37111,unreviewed,Wusab As Safil district,YE20,0.024,"2 hexes, 1 at the cap. peak 23.1 km from Al-Medy Village, qryt almdy (GeoNames 2,000); 0.19x the district's 291,260 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.01679,13.46191,unreviewed,Al Misrakh district,YE15,0.022,"4 hexes, 2 at the cap. peak 13.1 km from Taiz (GeoNames 940,600); 0.73x the district's 128,572 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.95631,14.63999,unreviewed,Jabal Ash sharq district,YE20,0.021,"2 hexes, 1 at the cap. peak 29.2 km from Al-Medy Village, qryt almdy (GeoNames 2,000); 0.45x the district's 108,193 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.43713,15.94687,unreviewed,Al Mahabishah district,YE17,0.021,"2 hexes, 1 at the cap. peak 6.2 km from Bayt Sha'ban (GeoNames 2); 0.58x the district's 90,078 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.18507,14.22758,unreviewed,Al Qafr district,YE11,0.020,"4 hexes, 1 at the cap. peak 20.8 km from Yarim (GeoNames 33,050); 0.48x the district's 160,523 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.29287,14.79236,unreviewed,Jahran district,YE20,0.020,"2 hexes, 1 at the cap. peak 32.7 km from Dhamar (GeoNames 160,114); 0.28x the district's 168,230 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.18613,14.76615,unreviewed,Dawran Anis district,YE20,0.019,"2 hexes, 1 at the cap. peak 37.7 km from Dhamar (GeoNames 160,114); 0.21x the district's 211,395 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.31489,14.19364,unreviewed,Zabid district,YE18,0.018,"3 hexes, 1 at the cap. peak 0.2 km from Zabid (GeoNames 52,590); 0.23x the district's 293,081 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.96046,13.71747,unreviewed,Shar'ab As Salam district,YE15,0.018,"3 hexes, 2 at the cap. peak 9.5 km from Qaryat Al kudshi al Ra'inah (GeoNames 750); 0.41x the district's 178,154 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.39165,14.13009,unreviewed,Al Jarrahi district,YE18,0.016,"2 hexes, 1 at the cap. peak 12.0 km from Zabid (GeoNames 52,590); 0.47x the district's 128,357 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
